	als_o	als	bij_o	bij	buiten_o	buiten	door_o	door	glas_o	glas	goed_o	goed	hem_o	hem	hij_o	hij	hoek_o	hoek	houden_o	houden	huizen_o	huizen	in_o	in	is_o	is	juist_o	juist	klein_o	klein	korte_o	korte	krijgen	krijgen.1	later_o	later	loopt_o	loopt	lopen_o	lopen	met_o	met	naar_o	naar	niet_o	niet	nu_o	nu	om_o	om	ook_o	ook	op_o	op	ruit_o	ruit	steen_o	steen	stil_o	stil	straat_o	straat	straten_o	straten	tijd_o	tijd	vraagt_o	vraagt	wil_o	wil	ziet_o	ziet
diareg_om_Onstwedde	az	ɑs	bi	bi	butn	buʔn	dʏr	dœ	xlas	xlas	xɑud	xɔud	əm	əm	he	e	hɑuk	hɔuk		hɔln	huzn	huzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ			kœrdə	kœdə	kriɡŋ	krigŋ	lɒtər	lɔtər	lɒpt	lop	lʌupm	loʔm	mɪt	mɪ	nʊ	na	nix	ni			ʏm		ouk	ok	ɔp	op	rudə	rutə	stɑinə	stainə	stɪl	stɪl	strʊdə	strɔtə			tit	tit	fraxt	vraxt	ʋɪ	ʋɪl	sʏxt	zʏt
diareg_om_Roswinkel	az	as	bi	bi	butn	buʔn	dʏr	dœ	xlas	xlas	xɑut	xɔut	hɛm	hɛm	ə	ə	hɑuk	hɔuk	hɒln	hɔldn	huzn	huzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ		klɛin	kœrdə	kœdə	kriɡŋ	krigŋ	lɒtər	lɔtə	lʌp	lop	loupm	loʔm	mɛt	mɪ	na	na	ni	ni	nɑu	nɔu			ouk	ok	ɔp	op			stɑinə	stainə	stɪl	stɪl	strʊdə	strɔdə			tit	tit	frɑx	vrax	ʋɪl	ʋɪl	zʏx	zʏx
diareg_om_Sexbierum	ɑt	ɑt	bai	bɛi	butn	buʔn	trʊ	tor	ɡlɛs	glɛs	ɡut	guət	hɛm	hɛm	ə	ə	hukə	hukə	hɒdn	hɔdn	hyzn	hysn	in	in	ɪs	ɪs	krɛk	krɛk	lits	lits	kuɑtə	kwatə	kraiə	kraiə	lɛtər	lɛtər	rɪnt	rɪnʔ	rɪnn	rɪn	ma	mai	nɑi	nai	nɛt	nɛt			ɔm	om	ɛk	ɛk	ɔp	op	ryt	ryt	stɪn	stiən	stɪl	stɪl	strɪtə	strɪtə	strɪtə		tit	tit	freiɡət	fregət	ʋɔl	ʋol	ʃʏxt	sjox
diareg_om_Sint-Annaparochie	ɑt	aɾ	bai	bɛi	bytn	bytən	dʏr	dœ	ɡlɑs	glɑs	ɡut	gut	hɛm	hɛm	i	i	huk	huk	hɑuən	hɔuən	hyzn	hyzən	ɪn	ɪn	ɪs	ɪs	krɛkt	krɛkt			kɒrthʏtsi		krɑiən	krɛiən	latər	latr	kɔmt		loupən	lopə	mɛt	mɛ	nə	na	nit	nit	nɑu	nɔu	ɔm	om	ok	ok	ɔp	op	ryt	ryt	stein	sten	stɪl	stɪl	dik	dik	stratn	straʔn		hytsi	fraxt	fraxt	ɪsfandʊl		sit	ʃiət
diareg_om_Slochteren	ɑz	ɑz	bi	bi	butn	buʔn	dʏr	dœ	xlɑs	xlɑs					ə	ə	hɑuk	hɔuk	hɒln	hɔln	huzn	huzn	ɪn	in	ɪs	ɪs	nɛt	nɛt	løɟi	lʏʔjə					lɔtər	lɔtə	lɒp	lop	loupm	loʔm	mɪt	mɪ	nə	nɔ	nait	nait	nɑu	nɔu			ɤuk	ok	ɔp	op	xlas		stɑin	stain	stɪl	stɪl	strʊt	strɔt			tit	tit	frɑxt	frɑxt			zʏx	zʏt
diareg_om_Sneek	ɑz	ɑz	bai	bɛi	bytn	byʔn	dʏr	dœ	ɡlɑs	glɑs	ɡud	guət	ɔm	əm	i	i	hukə	hukə	hɑuən	hɔuən	hyzn	hyzən			ɪs	ɪs	jyst	jyst	klɛin	klɛin	kɒrtə	kotə	kræiə	krɛiən	latər	latə	loupt	lop	loupm	loʔm	mɛt	mɛ	nɑ	na	nit	nit	nɑu	nɔu	ɔm	om	ouk	ok	ɔp	op	ram		stin	stiən	stɪl	stɪl	strat	strat	stratn	straʔn	tit	tit	fraxt	fraxt	ʋʏl	ʋɪl	sit	siət
diareg_om_Tilligte	ɑt	at	bi	bi	butn	buʔn	dʏr	dœ			xʊt	xot	hɛm	ɛm	hɪ	he	hok	hok	hɒln	hɔldn	hys	hys	ɪn	ɪn	ɪs	ɪs	nɛt	nɛt			kɒrtn	koʔn	kriɡŋ	krigŋ	latər	latə	lop	lop	lopm	loʔm	mɛt	mɛ	nə	nɔ	nɪx	nɪx	nu	nu	œm	ʏm			ɔp	op	rut	rut	stɪ	stɪn	stɪl	stɪl	strʌt	strɑt	strɒtn	strɑʔn	tit	tit	frœx	vrœx	ʋʏl	ʋɪl	sœt	sʏt
diareg_om_Veenwouden	ʌt	ɑt	bei	be	butn	buʔn	trʏx	trœx	ɡlæs	glæs	ɡut	guət	hɪm	əm	ər	ər	hukə	hukə	hɒdn	hɔdn	huzn	huzn	ɪn	in	ɪs	ɪs	krɛk	krɛʔ	lits	lits	kuɑtskɔtʃə		kræiə	krɛiə	lɛtər	lɛtər	rɛnt	rɛnt	rɪnn	rɛn	mɛi	mɛi	na	nɛi	nɛt	nɛt	nɑu	nɔu			ɛk	ɛk	ɔp	op	ryt	ryt	stɪn	stɪən	stɪl	stɪl	strɪtə	strɪtə	strɪtn	strɪʔn		skotjə	freihət	freɣət	ʋɔl	ʋol	ʃyt	ʃot
diareg_om_Workum	ʌz	ɑəs	bai	bɛi	bytn	byʔn	trʏ	trœ	ɡlɛs	glɛs	ɡut	guət			hɛi	hɛi	hukə	hukə	hɒdn	hɔdn	hyzn	hyzn	in	in	ɪs	ɪs	krɛkt	krɛkt			kɒrtskɔfkə		kræiə	krɛiə	lɛtər	lɛtər	rɪnt	rɪn			mai	mai	nɛi	nɛi	nɛt	nɛt	nau	nɔu	ɔm	om	ɪk	ɪk	ɔp	op	ryt	ryt	stin	stɪən	stɪl	stɪl	strɪtə	strɪtə	strʏtə			skofkə	freiɡət	fregət	ʋɔl	ʋol	ʃɔxt	ʃox
diareg_om_Zwinderen					butn	buʔn	dʏr	dœ	xlas	xlas							huk	huk	hɒln	hɔldn			ɪn	ɪn	ɪs	ɪs	nɛt	nɪʔ						krigŋ					lopm	loʔm	be		hɛn	hɛn		nit			œm	ʏm	ɤuk	ok	ɔp	op			stin	stin	stɪl	stɪl	strʌt	strɑt						vrax	ʋʏl	ʋɪl	zœt	zʏx
