location	aan	agent	als	beiden	besluit	bij	buiten	daar	dan_1	dat	de_12	door	een_count	een_det	er	even	extra	gerinkel	glas	glaszetter_1	goed	gooien	he	heel	hem	het	hij_2	hoek	houden	huizen	in	ineens	is	jongetje_2	juist	klein	klinkt	korte	krijgen	later	let	loopt_1	lopen	lukt	maar_3	met_1	mevrouw	naar	net	niet	nou	nu	of	om	ontdaan	ook	op	pakken	politieagent	repareren	ruit	ruiten	samen	sneuvelen	staan	stapt	steen	stil	straat	straten	te_1	tijd	toevallig	van_2	veel	vraagt	vrouw	wil_1	ze_1	ziet
Lemmer	ɑn	plisiman	ɑt	bɛidə	bəslyt	bai	bytn	dɛ	dɑn	da	də	trɔ	ɪ	ə	dər	eifə		ɡərɪŋkəl	ɡlɛs	ɡlɛsɛtər	ɡuj	ɡʊiə	hei		əm	t	hɛi	hukə	hɒdn	hyzn	in	ɪninn	ɪs	jɔŋkjə	krɛk	lits	klɪŋkt	kœtə	kræiən	lɛtər		rɔnt	rɔnn	lʏkt	mar	mai	frau	nə	krɛk	nɛt			ɒf	ɔm	fəslain		ɔp	pɑkŋ	pəliʃə	mɑitʃə	ram	ramm	təɡɛrə	ɡɪnstɪkŋ		stapt	stɪn	stɪl	strɪtə		tə	tiət	tufɑləx	fan		freixət	frau	ʋɔl	sə	ʃʏt
Lokeren	ɑn	ɑçænt	ʌzt		bəslœt	bei	bœtn		tæn	da	dən		ɪ	ə		it	ækstra	çəlɪŋkə	çlɒɑs	çlʌzəmɒkər	çu	ruə				t	ɪ	uk	ɒn	œzn	ɪn	enəkir	ɪs	mɑnəkə	ʃyst	klæn		kɒrtn		lʌtər	pʌst	lʏpt	løpm		mʌr	mɪt	frʌu	nə	ʃyst	ni			ɒf		fəsxrɪkt	ɯk	in	pɑkŋ	ɑçænt	mɒkŋ	rœtə	rœtn	typəsɔmm			kɔmt	sti	stɪl	strʌtə			tɪt		fɑn		frɒçt	frɑu	wə	sə	sit
Lommel	ɒp	pəlis	ɑs		wɪl	bɛi	bœtə	dʊ	dʌ	dɑ	dɪʀ	dʏʀ	en	ə	ə	ɛfkəs		lawɛt	çlɑs	ʀœtəmɑʔəʀ	çu	smætə				t	i	huk	pakə	hœizə	ɪn	ɪnɪns	ɪs	mænəʔə	ʃyst	klæn			kʀɛeçə	əʀnɑ	læt	lɔpt		çɪt	mæʀ	mæt	fʀɒu	na	ʒyst	ni		nə	ɒf				ɔp	pakə	plis	mɑkə	ʀœt	ʀœtə	sɑmm	çɒnkapɒt	stʌn	kɔmt	stɪn	stɪl	stʀʌt		tə	tɛt	stʀɑf	fɑn		fʀɑçt	fʀɒu	wʏl	zə	ziç
Lunteren		sxrɪk	ɑs		bəslyt	bɛi	bytə	da	dɑn	da	də	dʏr	ei	n	dər	ɛfə		xərɪŋkəl	xlas	xlɑskɪəl		xʊiə	hei	izəx	əm	t	i	huk	ɑrəstɪrə	hysə	ɪn		ɪs	kɪrəlcə	nɛt	klɛin		kɒrtə	krixə	lʌtər	lɛt	lʌupt		lœkt	mær	mɛt	ʋif	na	nɛt	nit	nɔ	nu	ɒf	œm		ɒk	ɔp		sxrɪk	mʌkə	ryt	rytə	sʌmə	xʌnɑndɪxələ	stɑn	kɔmt	stein	stɪl	strat	strɑtə	tə	tit	tufɑləx	fɑn	føl	fraxt	ʋif		sə	sit
Maldegem	ɑn	flik	ɒt	ɑlətwɪə	bəslyt	bɛ	bytn	da	tɒn	dɑ	də	dʏr	ɪ	ə	dər	ənposkə		hərɛhtə	hlɑs	rytəmɑkər	hut	smytn		fre	æm	t	i	uk	hʌudən	ɪzn	ɛn	ʌmɛnəkɪr	ɪs	fɛncə	ʃistə	klæn		kʊrtə	kriɡŋ	lʌtər	læt	loupt	louʔn	lækt	mʌ	mɪt	frɑuə	nɑ	ʃystə	ni	nɛi		ɒt	ɔm	ɔndɑn	ɤk	ɔp	pɑkŋ	flik	mɒkŋ	rytə	rœtn	toupə	snøfələn			stɛ	stɛl	strʌtə	strʌtn	tə	teit	tufʌləh	fɑn		frɑht	frɑuə		zə	sit
Marken	an	ɑxɛnt	ɑz	bɛidə	bəslayt	bɛi	bœytə	da	dɑn	dɑ	də	dʊr	ein	ən	ɛr	eifə	ɛkstra	xərɪŋkəl	xlɑs	xlɑsɛtər	xut	xɤiə	hei	hɪl	əm	hɛt	hɛi	huk	hɑuə	hayzə	ɪn	ɪneis	ɪs	jɔŋəcə	jœyst	klɛin	klɪŋkt	kɒrtə	krɛixə	latər	lɛt	lʌupt	lʌupə	lʏkt	mɑ	mɛt	frau	nɑ	nɛt	nit	nɑu	ny	ɒf	ɔm	ondan	ouk	ɔp	pɑkə	pəlitsiɑxɛnt	repərɪrə	rœyt	rœytə	samə	snøfələ		stɑpt	stein	stɪl	strat	stratə	tə	tɛit	tufɑləx	fɑn	fɪl	fraxt	frau	ʋɪl	sə	sit
Middelharnis	ɑn	æχænt	ɑs	bɛidə	bəslyt	bi	bytən	da	dɑn	da	də	dʏr	ɪn	ə	dər	eifə	ækstra	xərɪŋkəl	xlɑs	χlʌsætər	xud	χʊiə	hei	hɪl		ət	i	huk	hɑuə	hyzn	ɛn	ənis	ɪs	jɔŋəcə	jyst	klɛin	klɪŋk	kɒrtə	krɪxə	lætər	læt	lɑpt	lɑpə	lœkt	mɑr	mæt	frau	nə	næt	nɪt	nə	nɒ	ɒf	ɔm	ɔndan	ʌk	ɔp	pɑkə	pəliʃɑχɛnt	repərɪrə	ryt	rytə	sæmm	snøfələ		stɑpt	stɪ	stɪl	strat	stratə	tə	tit	tufaləχ	fɑn	fʏl	fraχt	frau	wɪl	sə	zit
Naaldwijk	ʊp				ʋɪl		baytə						ein	e		ɛfə	ɛkstʀa	xəʀɪŋkəl	xlɑs	xlʌsɛtəʀ	xut	xɤia				hɛt	i		pʌkə	hœyzə		ɔpeis	ɪs	jɔŋəcə						lɑtəʀ						mɛt	fʀaɯ	nə		nit		nɑ	ɒf		xəsʀɔkə		ɔp	pɑkə	pəlitsi	mɑkə	ʀam	ʀamə				kɔmt	stein	ʀʏstəx	stʀat		tə		tufʌləx			fʀaxt	fʀaɯ	ʋɪl	sə	sit
Neeroeteren	ɑn	pələs	æz	ɑlətwi	bəʃlɪst	bi	bytə	dɒ	dɑn	dat	də	dʊʀ	ein	ə	əʀ	æfə	ækstʀa	çəklɪŋəl	çlɑs	çlɑsənɛikəʀ	çʊd	çɯiə	ei	hil	əm	hɛt	hɛi	huk	houə	huzəʀ	ɔp	ɪnɪs	ɪʃ	mænəkə	ʃœst	klæn		kɒʀtə		dəʀnɒ	læt	leit	lɤpə	lækt	mɑʀ	mæt	fʀɑu	nʌ	ʃœst	nɪt		ny	ɒf	ɔm	hɪlydəʀdʊn	ɤuç	ɔp	pɑkə	pəlɪs	mɑkə	ʀut	ʀutə	sɑmə	çɒnkəpɒt		kæmt	ʃtein	ʃtɪl	ʃtʀɔt		tə	tit		fɑn	fœl	fʀeiçt	fʀɑu	wɒl	sə	zit
NijAltoenae	ɑn	plisi	at	bɒidə	bəslyt	bai	bytn	dæ	dan		də	dʏr	ein	ən	dər	eifə	ɛkstra	ɡərɪŋkəl	ɡlɑs	ɡlɑsɛtər	ɡut	smite	hei			hət	i	huk	hauən	hyzn	ɪn	ɪneinn	ɪs	jɔŋki	krɛk	klɒin		kɒrthʏtsi		l̴atər		loupt	lʌupm		mɑ	mɛt	frau	nə	krɛk	nɪt		nɑu	ɑt	ɔm	ɑndɛin		ɪn	pakŋ	plisi	makə	ryt	rytn	təɡar			stɑpt	stein	stɪl	strat	stratn	tə	tit		fan	føl	fraxt	frau	ʋɪl	sə	sit
Nijverdal	ɑn	ɑxɛnt	ʌs	ɑləbɛidə	bəslœt	bi	bytn	dʊ	dɑn	dɑ	dən		ɪ	ən	ər	ɛbm		xərɪŋkəl	xlɑs	xlɑsɛtər		xʊin	he	bʌrstəns	əm	t	ər	huk	hɒln	hyzə		ɪnɪs	ɪs	jɒxi	nɛt	klɛin	klɪŋk		kriɡŋ	lʌtər		xit	lopm	lʏkt	mʌr	mɛt	frɑuə	na	nɛd	ni		nu	ɒf				ɔp	pɑkŋ	pəlisi	repərɪrn	rutə	rutn	samm	snøfəlt		stɑpt	stɪ	stɪlə	strʌtə		tə		tufɑləx	fɑn		frœx	frɑuə	ʋʏl	sə	sœt
Noordwolde	ɑn	plisi		bɛidn	bəslyt	bei	bytn	dʊ	dæn	da	də	dʏr	ɪ	ə	dər	ebm		xərɪŋkəl	xlas	xlazəsɛtər	xʊt	xʊin			əm	hɛt	i	hukə	holn	hysn	ɪn	ɪnɪs	ɪs	manəxi	jyst	klɛin	klɛŋkt	kɒrtə	kriɡŋ	lætər	kɪkt	lɒp	loupm	lʏkt	mar	mɛt	frau	na	jyst	nit	nə		ɒf	ɔm	ɔndʌn	ok	ɔp	pakŋ	plisi	mækŋ	rytə	rytn	sæmm	snøfəld		stapt		stɪl	strɑtə	strʌtn	tə	tit		fan		frʌxt	frau	wɪl	sə	sit
Ommen	ɑn	axɛnt	ɑs	bɛidn	bəslyt	bi	bytn	dʊ	dɑn		də	dʏr	i	ən	ə	əsxɒfi		xəklɛtər	xlas	xlɑsɛtər	xut	smitn			əm	ət	ə	huk	hɒln	hyzn	ɛn	ɪnis	ɪs	jɒxi	jyst		klɪŋkt	kœrdə	kriɡŋ	latər	kɛikt	lœp	lopm	lʏkt	ma	mɛt	frɑu	na	nɛt	ni			ɒf	ʏm			ɔp	pɑkŋ	pəlitsiɑxɛnt	makŋ	rutə	rutn		xɒtandɪxəln	stʌn		sti	stɪl	strʌt	strʌtn	tə	tit		fɑn		frʏx		wɪl	sə	sɛt
Onstwedde	æ	pəlitsi	as	baidn	bəslut	bi	butn	dʊ	dɛn	da	də	dʏr	ɑi	ən	dən	eibm	ɛkstra	xərɪŋkəl	xlas	xlasɛtər	xɑud	xʊin	hei	høl	əm	t	ha	hɑukə	hɒdn	huzn	ɪn	ɪnɒis	ɪs	jɔŋkjə	jyst	løcə	klɪŋk	kœrdə	kriɡŋ	lɒtər	lɛt	lʌpt	lʌupm	lʏkt	mɒr	mɛt	fra	nʊ	nɛt	ni		nɑu	ɒf	ɔm	ɔndʊn		ɔp	pakŋ	pəlitsi	klʊrmɒkŋ	rudə	rutn	sɔmm	snøfəln		stapt	stɑinə	stɪl	strɔdə	strɔtn	tə	tit		fan	fœl	frɔxt	fra	ʋɪl	zə	sœx
Oostende	ɑn	pʊliʃə	ɒt	ɑlətwæ	bəslyt	bi	bytn			dʌ	də	dʏr	ɛ	ə	dər	əbecə	ɛkstɑ	həriŋkəl	hlɑs	rytəmʌkər	hud	smitn		hɛl	hæm	t	i	uk	ɯn	ysn	ɛn	ɔpes	ɪs	jɔŋəcə	ʃystə	klɛn	kliŋkt	kɒrtə		lɒtər	læt	lɒpt	lopm	lʏkt	mɒ	mæt	mɑdɑm	no	ʃystə	ni		ny	ɒf	ɔm		ɯk	ɔp	pɑkŋ	pʊliʃə	fəmʌkŋ	rytə	rytn	təhɒrə	snøfəln		kɔm	stɛn	stɛl	strɒtə		tə	tit		fan	fil	fraht	mɑdɑm	wɛl	sə	sit
Ooy	ɔp	ɑçæt	ɑz	bɛidə	bəslyt	bei	bytə	dɑ	dɑn	dɑ	də	dʏʀ	ɪn	ə	ər	ɛfə		çərɪŋkəl	çlɑs	çlɑsætər	çud	çʊiə			əm	t	hɛ	huk	pakə	hyzə	ɪn	ɪnɛns	ɪs	jʏŋskə	nɛt		klɪŋkt	kɒrtə	kriçə	latər		lœp	lopə	lʏk	mʌ	mət	frɑu	nə	nɛd	nit	nɑu		ɒf	ɔm		ok	ɔp	pɑkə	pɒlisiaçɛnt	makə	ryt	rytə	samə	çɒnkəpɒt	stʌn		stɪ	stɪl	strʌt	strʌtə	tə	tit	tufɑləç	fɑn		frʏç	frɑu	ʋɪl	zə	sit
OudeNiedorp	ɑn	ɑxɛnt	ɑls	bɛidə	wʏl	bɛi	bœytə		dɑn	dɑ			ein	ən	dər	ɛfis		rɪŋkələ	xlɑs	xlɑsɛtər		χʊiə	hɛ	hɪl		ət	hɛi	huk	hɑuə	hayzə		ɪnins	ɪs			klɑin	klɪŋk			dəna		loupt	loupə			mɛt	frɑu	na	nɛt	nit	nə		ɒf		fəskrɪkt	ɔk	ɔp	pɑkə	ɑxɛnt	makə	ram	ramə		xanstʏk		kɔmt	sti	stɪl	strat		tə		tufɑləx		fʏl	fraxt	frɑu	wʏl	sə	zit
Oudebildtzijl	ɑn	pəlisi	ɑt	bɒidə	bəslyt	bɛi	bytn	dæ	dan	da	də	dʏr	ei	ə	dər	ənhʏtsɪ	ɛkstra	ɡərɪŋkəl	ɡl̴ɑs	ɡl̴ɑsɛtər		ɡʊiə	hei		əm	ət	i	huk	hɑuən	hyzn	ɪn	əpdɑtstɑyt	ɪs	jɔŋki	krɛk	klɑin	kl̴ɪŋk	kɒrthʏtsi	kræiən	l̴atər	l̴ɛt	loupt	loupm	l̴ʏkt	mar	mɛt	frau	na	krɛk	nit	nɑu	nɑu	ʌt	ɔm	ɑndɛin	ok	ɔp	pakŋ	pəl̴isi	makə	ryt	rytn	təɡar	snøfələ		stapt	stein	stɪl	dik	stratn	tə	tit	tufaləx	fan		fraxt	frau	ʋɪl	sə	sit
Overijse		ɑçænt	ɑs	ɑlətwi	dɛsidæʀt	bai	bɔətə	dʊ	dɛn	dɑ	dən	dœ	ɪ	ə	əʀ	ənbeikə	ɛkstʀɑ	çəʀɪŋkəl	çlɑs	çlʊzəmʊkər	çʏd	smæitə	e	ɪl	æm	t	m	uk	ɑʀəstɛʀə	ɒəzə	ɪn	inɪnəkɪʀ	ɪs	mænəkə	ʃyst	klɑn		kœʀtən		lʊtəʀ	lɛt	lʏpt	lʏɑpə	lʏkt	mɒ	mæt	fʀɑ	nə	ʃyst	ni		nɑ	ɒf	ɔm		uk	ɔp	pakə	ɑçɪnt	ʀɛpaʀɛʀə	fɪstəʀ	fɪstəʀs	sʊmm	snøfələ		kɔmt	sti	stɪl	stʀot	stʀʊtə	tə	tæt	lʏkə	fɑn	fɶl	fʀʊçt	fʀɑ	wɪlt	zə	sɪt
Pannerden	ɑn	plitsi	ɑs	bæiə	bəslyt	bɛi	bytə	dʊ	dɑn	dɑ	də	dʏʀ	i	ə	ə	æfə	ækstʀɑ	çəʀɪŋkəl		çlɒzəzætəʀ	çut	çʊiə			əm	ət	i	huk	hɑuə	hyzə	in	ɪnɛns	ɪs	jʏŋskə	jyst	klɛin	klɪŋk	kɒʀtə	kriçə	lʌtəʀ	læt	lœp	lopə	lʏk	mʌr	mæt		nə	næt	nit	nɑu	nɑu	ɒf	œm	ɔndʌn	ouk	ɔp		pəlisi	mɑkə	ʀyt	ʀytə	samə	çʌnkəpɒt		lʏp	kɛi	stɪl	stʀʌt	strʌtə	tə	tit	tufɑləç	fɑn	fʏl	fʀœç	fʀɑu	wʏl	zə	sit
Poperinge	œp	pʊlisə	ɑt	ɑlətwi	peist	bi	bytn		tʊn		də	dʏr	ɛ	a		əbecə		hərɪŋkəl	hlɑs	fæntfɑndərytn		smitn		stif		t	m	uk	pɑkŋ	yzn		ɒməkir	ɪs	fɪncə	ʒystə	kliɪn				lɒtər	læt	lɒpt	lopm			mæt	wyf	nɑ	ʃystə	ni		ny	ɒfdɑt	fɑ			ɔp	pɑkŋ	pʊlisɪ	fəmɒkŋ	rytə	rytn			stɒ	kɔmt	stɛ	stɪl	strɒtə				pɑsn	fan		frɒht	wyf	wɛlt	sə	zit
Reeuwijk	an	ɑxɛnt	ʌls	ɑləbɛi	bəslayt	bɛi	bœytə	da	dɑn	dʌ	də	dʊr	ein	ə	ər	eifə	ɛkstrə	xərɪŋkəl	xlɑs	xlʌsɛtər	xut	xʊiə	hei	hɪl	əm	ət	i	huk	hɑudə	hayzə	ɪn	ɪnes	ɪs	jɔŋəcə	jayst	klɛin	klɪŋk	kʊrtə	krɛixə	latər	læt	lʌupt	lʌupə	lʏkt	mɑɻ	mɛt	frɑu	na	nɛt	nit	nʌu	nu	ɒf	ɔm	xəsxrɔkə	ouk	ɔp	pɑkə	plitsiɑxɛnt	repərɪrə	rœyt	rœytə	samə	snøfələ		stʌpt	stein	stɪl	strat	stratə	tə	tɛit	tufʌləx	fɑn	fɪl	fraxt	frɑu	ʋʏl	sə	sit
Rijen	an	plisi	ɑlz	bæidə	bəslœyt	bɛi	bœytə	də	dɑn	dæ	də	dʊʀ	e	ə	əʀ	ɛfə	ɛkstʀə	çəʀɪŋkəl	çlɑs	çlɑsætəʀ	çut	çʊiə		hɪl	əm	t	i	hɯk	hɑuə	hayzə	ɛn	ɪneis	ɪs	jɔŋəcə	jaist	klɛin	klɪŋkt	kɒʀtə	kʀɛiçə	lɑtəʀ	lɛt	lʌpt	lopæ	lʏkt	mɑʀ	mæt	fʀɑu	na	nɛt	ni		ny	ɒf	ɔm	ɔndan	ɤuk	ɔp	pɑkə	pliʃɑçɛnt	ʀepəʀɪʀə	ʀayt	ʀaytə	samə	snøfələ		stɑpt	stein	stɪl	stʀʌt	stʀatə	tə	tɛit	tufɑləç	fɑn	fʏl	fʀaçt		wɪl	zə	zit
Rijkevorsel	up	pɒlɪs	ɑs	ɑlətwiə	bəslœt	bɛi	bœtə	dɑ	dan	dɑ	də	dʏʀ	i	æn	dəʀ	ɛfkəs		çəʀiŋkəl	çlas	fandəfæstəʀs	çu	smætə	hei	ɪl		t	m	uk	pækə	hœs	ɪn	ɪnɪs	ɪs	manəkə	ʃyst	klæn				lʌtəʀ		lœp	lɤpə		mæʀ	mæt	madam	nər	ʃyst	ni	nau	na	ɒf	œm	fəsxɔtə		ɔp	pakə	pɒlɪs	mʌkə	ʀœt	ʀœtə	sam	çɒnkɑpɒt		stapt	stɪ	stɪləkəs	stʀʌt				lʏkə	fan	fœl	fʀʌçt	fʀɑɯ	wʊl	zə	sit
Roswinkel	æ	plitsi	ɑs	bɛidn	bəslɒt	bi	butn	dʊ	dan	da	də	dʏr	ɑi	n	dər	ebm	ɛkstrə	xərɪŋkəl	xl̴as	xlasɛtər	xɑud	xʊin	hɪi	høl	hɛm	t	ə	hɑukə	hɒdn	huzn	ɪn	ənɑis	ɪs	jʌŋki	jyst	klɛin	klɪŋk	kœrdə	kriɡŋ	lɒtər	lɛt	lʌp	loupm	lʏkt	mɑr	mɪt	məfrɑu	nɒ	nɛt	nit	nʌu	nɑu	ɒf	œm	fəbɑldərɪt	ok	ɔp	pakŋ	plitsiɑxɛnt	reparɪrn	rudə	rutn	sʊmm	snøfəln		stɑpt	stɑinə	stɪl	strʌdə	strʌtn	tə	tit	tufɑləx	fan	føl	frax	frɑu	ʋɪl	sə	sʏx
s-Gravenvoeren	ɑ	ʃɑndɑʀm	ɛs	ɑlətwiə	wʏlt	bi	butə	də	dɑ	dɑt	dəʀ	dʊʀ	en	ən		çæt	ækstʀɑ	ʀɑmɛnt	çlɑs	çlɑsəniʀkəʀ	hut	bʀuiə	hɛ		əm	əd	i	hok	hoə	husə	ɔp	opɪns	ɪʃ	jʏŋskə	ʃyst	klen		kɒʀtə		lɑtəʀ	kik	lœpt	lopə	lʏkt	ma	mət	fʀʊu	nə	ʃyz	nɪt		ny	ɒf		çɑnsfəʀlʊʀə		ɔp		ʒɑndɑʀm	mɑkə	ʀut	ʀutə	təhop			kʏmt	ʃte	ʃtɪl	ʃtʀot		tə	tit	zɪn	fɑ	fœl	fʀyd	fʀʊu	wɪl	sə	zɪt
Sexbierum	ʊ	aɡɛnt	ʌs	bɑidə	bəslyt	bai	butə	dɛ	dan	d	də	trɒ	ɪ	ə	dər	ɛfkəs		ɡərɪŋkəl	ɡl̴ɛs	ɡlɛsɛtər	ɡut	ɡʊiə		hil	əm	ət	ər	huk	hɑdn	hyzn	ɪn	ɪnis	ɪs	jɔŋkjə	krɛk	lits	klɪŋkt	kuɑtə	kræiən	lɛtər	lɛt	rɪnt	rɪnn	lʏkt	mɑr	mɑ	frau	na		nɛt		nau	dat	ɔm	skrɔkə	ɛk	ɔp	pakən	pəliziman	mɑitʃə	ryt	rytən	təɡɛrə	snøfələ		stapt	stɪ	stɪl	strɪtə	strɪtn	tə	tit	təfaləx	fan		freixət	frau	ʋɔl	sə	ʃʏt
SintAnnaparochie	ɑn	pəlisi	ɑt	bɒidə	bəslyt	bɛi	bytn	da	dɑn	dat	də	dʏr	ei	ən	də	nitføl	ɛkstrə	ɡərɪŋkəl	ɡl̴ɑs	ɡlɑsɛtər	ɡut	ɡʊiə	hei			hɛt	i	huk	hɑuən	hyzn	ɪn	ɪnenn	ɪs	jɔŋki	krɛk	klɑin		kɒrthʏtsi		latər	sit	loupt			mɑr	mɛt	frau	na	krɛk	nit	nau		ɑt	ɔm	skrɒkən	ouk	ɔp	pɑkŋ	plisi	makə	ryt	rytn	təɡar	ɡanstɪkən		stɑpt	stein	stɪl	dik		tə	tit	tufaləx			fraxt	frau	ʋɪl	sə	sit
SintJacobiparochie	ɑn	æɡɛnt	ɑθ	bɒidn	bəslyt	bɛi	bytn	dæ	dɑn	dɑ	də	dʏr	ein	ə	ər	efə	ɛkstrə	ɡərɪŋkəl	ɡlas	ɡlɑsɛtər	ɡut	ɡʊiə	hei	hɪl	hɛm	t	hɛi	huk	hɑuən	hyzn	ɪn	ɪneis	ɪs	jɔŋki	krɛk	klɒin	klɪŋk	kɒrtə		l̴atər	lɛt	loupt	loupən	lʏkt	mɑr	mɛt	frɑu	na	krɛk	nit	nɑu	nɑu	ɑt		fəsluxən	ouk	ɔp	pɑkŋ	pəliʃɑɡɛnt	makə	ryt	rytn	samm	snøfələ		stɑpt	stein	stɪl	dik	stratn	tə	tit	tufaləx	fən		fraxt	frɑu	ʋɪl	sə	sit
Sint-Oedenrode		ɑçænt	ɑls	ɑləbæi	wɪl		bœytə	dʌ	dɑn	dɑ	də			ən	əʀ	me		lowɑi	çlɑs	çlɑsætəʀ		çʊiə	hei			t	hɛi	huk	vɑtən			ənɪns	ɪs	jʏŋskə		klɛin				dənʌ		lʏpt				mɪt	fʀɒu	nɑ	kʀɛk	nit			ɒf				ɔp		ɑçɛnt	mɑkə	ʀʌm	ʀɑmə		çʌnkəpɔt		lʏp	stein	stɪl	stʀɒət				stɛʀk		fɪl	fʀɒçt	fʀɑu			zit
Slochteren	æn	axɛnt	ɑs	bɒi	bəslut	bi	butn	dʊ	dɛn	da	d	dʏr	ɑi	n	ɛr	ebm	ɛkstra	xərɪŋkəl	xlas	xlʊzənmɒkər	xɑut	xʊin	hei	høl	hɒm	hɛd	hɛi	hɑuk	hɒln	huzn	ɪn	inais	ɪs	jɔŋkjə	jyst	klɑin	klɪŋk	kœrtə	kriɡŋ	lʊtər	lɛ	loupt	loupm	lʏkt	mʌr	mɛt	frɑ	nə	nɛt	nɑit	nɑu	nɑu	ɒf	ɔm	ɔndʊn		ɔp	pɑkŋ	ɑxɛnt	reparɪrn	rut	rutn	sɔmm	snøfəln		stapt	stɑin	stɪl	strʊt	strʊtn	tə	tit	tufɑləx	fan	føl	frʊxt	fra	ʋʏl	sə	sʏxt
Sneek	an	pəlɪsi	ɑs	bɛidə	bəslyt	bai	bytn	da	dan	dɑt	də	dʏr	ei			əntit		ɡərɪŋkəl	ɡlaz	ɡlasəsɛtər	ɡut	ɡʊiə	hei		əm	ət	hɛi	hukə	hɑudn	hyzn	ɪn	ɪninn	ɪs	jɔŋkjə	jyst		klɪŋkt	kɒrtə		l̴atər	sit	loupt	lʌupm	lœkt	mʌr	mɛt	ʋif	na	krɛkt	nit			ɒf		fəsxrɪkt	ouk	ɔp	pakŋ	pəlɪsi	makə	ryt	ramə	təɡarə	ɡanstʏkŋ		kɔmt	stin	stɪl	strat	stratn	tə	tit	tufɑləx	fan		fraxt	ʋif	ʋy	zə	sit
Tegelen	a	pəlitsi	ɑz	ɑləbæi	bəʃlyt	bi	butə	dʊʀ	dæn	dɑt	dəʀ	dʊʀ	ein	ɛ	dəʀ	æfə	ækstʀə	çəʀɪŋkəl	çlas	çlasætəʀ	çʊt	çuia	hei	hɪl	hɪm	ət	ɪ	hʊk	haiə	hyzəʀ	ɪn	ɪnɛns	ɪs	jʏŋskə	nɛt	klɛin	klɪŋk	kɒʀtə	kʀiçə	latəʀ	læt	lœpt	lʌupə	lœk	mɑʀ	mæt	fʀɑu	nə	næt	nɪt	nʊ	nɒu	ɒf	œm	ɔndɔn	ouk	ɔp	pɑkə	pəlitsiæçænt	ʀepəʀɪʀə	ʀut	ʀutə	samə	ʃnøfələ		ʃtɑpt	ʃtæin	stɪl	stʀot		tə	tit	tufɑləç	fan	fil	fʀʏç	fʀɑu	wɪl	sə	syt
Tienen	ɯp	pʊlis	ɑz	ɒlətwi	dæsidɑit	bɛi	bœtə		dɑn		də	dœʀ	ein	ə		əbæcə		çəklɛtəʀ	çlɑs	çlɑzəmɑkəʀ		smætə		il		ət	m	uk	pakə	ɑsə	u	ɪnins	ɛs	mænəkə	ʒyst	klæn		kɑtən		lʊtəʀ		lʏpt	lɤpə		mʌʀ	bɛ	mɑdɑm		ʒys	ni		nɒ	ɒf	fœʀ			ɔp	pɑkə	pɒlis	ʀɛpaʀɛiʀə	ʀat	ʀatə		snɑifələ		kɔmt	sti	stil	stʀɔt			tæt		fɑn	fɑil	fʀɑçt	fʀɑ	wɪl	zə	seit
Tilligte	ɑn	axɛnt	as	ɑləbæi	ʋɪl	bi	butn	də	dan	da	d	dʏr	ɪ	ən	ər	nɪxfəl	ɛkstrʌ	xərɪŋkəl	xlas	xlasɛtər	xʊd	xʊin	hɪ		əm	t	he	hok	ɒn	hys	ɛn	ɪnes	ɪs	jʏŋskə	jyst	klɛin		kɒrtə	kriɡŋ	latər	lɛt	lœp	lopm	lʏkt	mær	mɛt		nə	nɛt	nɪx			ɒf				ɔp	pakŋ	plitsi	makŋ	rut	rutn	samm	xetkəpʌət		stapt	stɪn	rʏstəx	strʌt	strʌtn	tə	tit	tufaləx	fan		frœx		ʋɪl	sə	sɪt
Uithuizen	a	ɑxɛnt	ɑz	bɒidnt	bəslyt	bi	butn	dʊ	dɛn	da		dʏr	ɒi	ə	ɛr	eibm	ɛkstra	rɪŋkəln	xlas	xlasɛtər	xɑud	smitn	hei		hɒm	t	hɑi	hɑuk	hɒln	huzn	in	ənɒis	ɪs	jɔŋkjə	krɛkt	løɟə	klɪŋkt	kɒrdə	kriɡŋ	lʊdər	lɛt	lʌpt	loupm	lʏkt	mʌr	mɛt	frɑu	nə	nɛt	nɑit		nɑu		ɔm	fəsxrɪkt		ɔp	pakŋ	pəlitsiɑxɛnt	mɒkŋ	rut	rutn	sʊmm	snøfəln			stɑin	stɪl	strʊt		tə	tit	tufaləx	fan		fraxt	frɑu	ʋɪl	sə	zɪxt
Vaals	a	pʊlis	wɛn		wɛl	bei	uʃ	də	dan	dɑt	dəʀ	dœʀç	e			jæts	ækstʀa	jəʀɪŋkəl	jlɑs	fɪnstərmɑχəʀ	jut	wæʀpə	hei	jɑns		əd	hɪʀ	ɛk	hɑuə	hyzəʀ	ɪn	ɔbɛns	ɛʃ					kʊʀtə		ʃpedəʀ	kikt	jet	lofə		maʀ	be	fʀɑu	əʀ	çʀat	nɪt		nun	ɒf		jɑnsɛntsɛtzt		ɪ	pɑkə	pʊlis	ʀɛpɑʀiʀə	fɪnstəʀ	fɪnstəʀə		jʊntkɑpɒət		kʏmt	ʃte	ʃtɛl	ʃtʀɔəʃ		tsə	tsit	sufæləʃ	fɑ	fʏl	fʀɒd	fʀɑu	wɛl		sit
